JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),
 40544.000,    45.996,    23.811,     4.500,     0.000,     0.000,     0.000,     0.000,    19.805,  2898.534,     1.000,     4.500,  -196.407,     0.000,   209.626,   327.448,    37.377,    41.208,     0.000,
 40544.042,   126.043,    23.779,     4.476,     0.034,   777.347,     0.000,     0.000,    19.773,  2898.534,     1.000,     4.476,  -197.313,     0.000,   209.122,   327.341,    37.130,    41.964,     0.000,
 40544.083,   113.285,    23.812,     4.451,     0.239,  5551.442,     0.000,     0.000,    19.806,  2898.534,     1.000,     4.451,  -199.387,     0.000,   208.060,   327.219,    36.550,    43.679,     0.000,
 40544.125,   113.467,    23.823,     4.423,     0.242,  5582.102,     0.000,     0.000,    19.817,  2898.534,     1.000,     4.423,  -209.420,     0.000,   206.919,   327.088,    39.698,    49.553,     0.000,
 40544.168,   114.152,    23.819,     4.395,     0.227,  5211.974,   900.499,     0.000,    19.813,  2898.534,     1.000,     4.395,   648.435,   849.528,   207.235,   326.958,    36.477,    44.892,     0.000,
 40544.210,   111.941,    23.817,     4.368,     0.216,  5025.870,     0.000,     0.000,    19.811,  2898.534,     1.000,     4.368,  -206.588,     0.000,   207.863,   326.830,    40.260,    47.361,     0.000,
 40544.251,   121.540,    23.818,     4.341,     0.213,  4948.024,     0.000,     0.000,    19.812,  2898.534,     1.000,     4.341,  -203.706,     0.000,   206.276,   326.704,    36.917,    46.362,     0.000,
 40544.293,   110.771,    23.815,     4.315,     0.215,  4961.956,   695.125,     0.000,    19.809,  2898.534,     1.000,     4.315,   452.260,   655.778,   206.416,   326.581,    37.355,    45.998,     0.000,
 40544.335,   116.842,    23.817,     4.289,     0.216,  5052.694,     0.000,     0.000,    19.811,  2898.534,     1.000,     4.289,  -210.298,     0.000,   206.276,   326.458,    40.082,    50.035,     0.000,
 40544.376,   106.729,    23.820,     4.263,     0.213,  4978.493,     0.000,     0.000,    19.814,  2898.534,     1.000,     4.263,  -202.764,     0.000,   206.277,   326.335,    36.683,    46.023,     0.000,
 40544.418,   118.955,    23.816,     4.238,     0.214,  4978.059,     0.000,     0.000,    19.810,  2898.534,     1.000,     4.238,  -193.696,     0.000,   210.317,   326.218,    36.660,    41.135,     0.000,
 40544.458,   115.731,    23.816,     4.215,     0.217,  5006.745,     0.000,     0.000,    19.810,  2898.534,     1.000,     4.215,  -187.507,     0.000,   211.240,   326.107,    35.345,    37.295,     0.000,
 40544.501,   115.570,    23.817,     4.189,     0.216,  5035.179,     0.000,     0.000,    19.811,  2898.534,     1.000,     4.189,  -212.319,     0.000,   211.772,   325.988,    48.741,    49.362,     0.000,
 40544.542,   121.503,    23.816,     4.164,     0.218,  5059.355,     0.000,     0.000,    19.810,  2898.534,     1.000,     4.164,  -196.752,     0.000,   214.375,   325.870,    44.998,    40.259,     0.000,
 40544.585,   120.168,    23.815,     4.139,     0.220,  5132.142,     0.000,     0.000,    19.809,  2898.534,     1.000,     4.139,  -193.059,     0.000,   251.570,   325.750,    64.347,    54.533,     0.000,
 40544.626,   110.663,    23.819,     4.115,     0.222,  5179.438,     0.000,     0.000,    19.813,  2898.534,     1.000,     4.115,  -195.963,     0.000,   236.328,   325.637,    57.768,    48.887,     0.000,
 40544.668,   120.401,    23.814,     4.091,     0.220,  5140.339,     0.000,     0.000,    19.808,  2898.534,     1.000,     4.091,  -189.900,     0.000,   251.790,   325.525,    62.535,    53.629,     0.000,
 40544.708,   126.016,    23.815,     4.070,     0.218,  5048.393,     0.000,     0.000,    19.809,  2898.534,     1.000,     4.070,  -159.750,     0.000,   252.367,   325.429,    46.367,    40.320,     0.000,
 40544.751,   118.358,    23.814,     4.052,     0.218,  5092.211,     0.000,     0.000,    19.808,  2898.534,     1.000,     4.052,  -152.484,     0.000,   252.602,   325.341,    43.177,    36.567,     0.000,
 40544.793,   115.288,    23.816,     4.034,     0.221,  5147.698,   102.437,     0.000,    19.810,  2898.534,     1.000,     4.034,   -78.225,    96.639,   252.797,   325.256,    55.423,    46.982,     0.000,
 40544.834,   118.303,    23.814,     4.016,     0.220,  5164.481,     0.000,     0.000,    19.808,  2898.534,     1.000,     4.016,  -148.652,     0.000,   253.074,   325.175,    40.932,    35.619,     0.000,
 40544.876,   127.152,    23.812,     3.999,     0.225,  5216.154,     0.000,     0.000,    19.806,  2898.534,     1.000,     3.999,  -158.854,     0.000,   252.367,   325.095,    46.222,    39.904,     0.000,
 40544.917,   118.743,    23.816,     3.983,     0.225,  5216.180,     0.000,     0.000,    19.810,  2898.534,     1.000,     3.983,  -159.976,     0.000,   251.927,   325.016,    46.308,    40.579,     0.000,
 40544.960,   116.585,    23.814,     3.980,     0.219,  5154.882,     0.000,     0.000,    19.808,  2898.534,     1.000,     3.963,  -180.055,     0.000,   251.014,   324.694,    56.026,    50.350,     0.000,
 40545.001,   119.484,    23.810,     3.963,     0.228,  5348.663,     0.000,     0.000,    19.804,  2898.534,     1.000,     3.942,  -178.176,     0.000,   251.226,   324.608,    55.060,    49.734,     0.000,
